6	88	side	Seite	solution	Lösung				
17	196	consensus	Konsens	Syria	Syrien				
18	204	sponsorship	Sponsoring	sport	Sport				
19	215	sponsorship	Sponsoring	sponsorship	Sponsoring				
28	272	Federal Security Service	FSB	deputy	Stellvertreter				
37	303	bridge	Brücke	bridge	Brücke				
38	304	bridge	Brücke	bridge	Brücke				
51	389	public health	Gesundheit	public health	Gesundheit				
61	422	gold	Gold	Brazil	Brasilien				
86	662	comparison	Vergleich	actor	Schauspieler				
91	679	China	China	died	gestorben				
92	681	China	China	China	China				
111	818	parts	Teile	Madeira	Madeira				
151	1090	Brussels	Brüssel	Nice	Nizza				
154	1114	Western Europe	Westeuropa	China	China				
155	1137	damage	Schaden	damage	Schaden				
175	1296	strength	Kraft	gold	Gold				
213	1576	capital	Hauptstadt	Bangkok	Bangkok				
235	1762	tobacco	Tabak	communications	Kommunikation				
240	1777	comparison	Gegenüberstellung	caricature	Karikatur				
242	1792	Iraq	Irak	Syria	Syrien				
247	1816	Iraq	Irak	Syria	Syrien				
269	1913	covering	Bezug	land use	Bodennutzung				
284	2025	menu	Menü	eggs	Eier				
291	2065	writing	Schreiben	eating habits	Essgewohnheiten				
299	2144	Dublin	Dublin	Luxembourg	Luxemburg				
300	2154	Luxembourg	Luxemburg	Dublin	Dublin				
301	2160	Luxembourg	Luxemburg	Dublin	Dublin				
311	2222	capital	Hauptstadt	Israel	Israel				
332	2394	generation	Generation	category	Kategorie				
359	2543	emergency call	Notruf	presence	Anwesenheit				
368	2644	International Olympic Committee	IOC	hearing	Anhörung				
384	2764	general public	Bevölkerung	approval	Zustimmung				
393	2822	night	Nacht	sleep disorders	Schlafstörungen				
